pname,cluster_kmeans,cluster_hdbscan,cluster_birch
1agp,1,-1,3
1ags,23,-1,46
1agw,49,-1,29
1ah0,8,-1,21
1ah3,8,-1,21
1aha,3,-1,16
1ahb,7,-1,41
1ahf,36,-1,7
1ahg,36,-1,7
1ahi,13,-1,46
1ahx,7,-1,2
1ahy,17,-1,2
1ai2,12,-1,23
1ai3,23,-1,13
1ai4,3,-1,16
1ai5,25,-1,16
1aia,41,-1,41
1aic,25,-1,7
1aid,19,-1,4
1aiq,16,-1,15
1aix,47,4,12
1aj0,41,-1,2
1aj2,42,-1,28
1aj7,22,-1,33
1aj8,24,-1,46
1ajn,25,-1,16
1ajp,3,-1,16
1ajs,13,-1,35
1ajx,19,-1,4
1ak0,24,-1,19
1aka,35,-1,16
1akb,37,-1,6
1akc,37,-1,6
1akd,0,-1,36
1ake,1,-1,28
1akq,18,-1,2
1akr,18,-1,2
1akt,18,-1,2
1aku,17,-1,2
1akv,17,-1,2
1akw,17,-1,2
1al8,29,-1,3
1aln,44,-1,46
1alw,24,-1,46
1am1,28,-1,14
1ama,37,-1,6
1ami,33,-1,46
1amq,7,-1,38
1amr,7,-1,41
1amu,41,-1,13
1amw,47,-1,4
1an9,23,-1,15
1anc,20,-1,14
1and,5,-1,26
1anf,40,-1,27
1ank,1,-1,28
1aob,16,-1,15
1aoe,15,-1,0
1apb,33,-1,35
1apt,39,7,33
1apu,22,-1,33
1apv,39,-1,31
1apw,22,-1,33
1apz,26,-1,36
1aq1,46,-1,14
1aq2,1,-1,28
1aqb,6,-1,48
1aqc,24,-1,19
1aqu,7,-1,2
1aqv,44,-1,46
1aqw,44,-1,3
1aqx,44,-1,46
1aqy,29,-1,8
1arg,25,-1,41
1arh,7,-1,3
1art,36,-1,7
1as0,17,-1,2
1as3,17,-1,2
1asa,36,-1,7
1asc,36,-1,7
1asd,7,-1,41
1asm,30,-1,7
1at5,44,-1,3
1atl,39,-1,33
1atp,46,-1,14
1atr,49,-1,7
1ats,38,-1,14
1aua,4,-1,48
1aux,6,-1,35
1av5,42,-1,46
1avn,5,-1,26
1awb,44,-1,3
1awf,47,4,12
1awq,25,-1,49
1ax0,41,-1,25
1ax1,41,-1,25
1ax2,3,-1,0
1axd,13,-1,23
1axr,43,0,44
1axw,26,-1,23
1axz,41,-1,25
1ay5,18,-1,3
1ay8,45,-1,30
1ayl,1,-1,23
1az1,8,-1,21
1az8,2,16,20
1azl,17,-1,2
1azm,47,-1,4
1azs,1,-1,41
1azt,42,-1,3
1b0d,44,-1,3
1b0h,6,-1,36
1b0j,1,-1,3
1b0k,37,-1,19
1b0m,26,-1,19
1b0o,36,-1,10
1b0u,1,-1,35
1b11,7,-1,41
1b1c,26,-1,36
1b1h,4,-1,48
1b1y,16,-1,15
1b2m,24,-1,28
1b30,44,-1,43
1b37,33,-1,35
1b38,20,-1,26
1b39,21,-1,29
1b3d,5,-1,26
1b3h,6,-1,36
1b3x,44,-1,43
1b3y,12,-1,43
1b3z,12,-1,43
1b42,4,-1,48
1b4b,24,27,46
1b4d,40,-1,44
1b4n,48,-1,17
1b4p,15,-1,6
1b4s,13,-1,19
1b4u,31,-1,37
1b4x,25,-1,1
1b55,24,27,46
1b56,6,-1,18
1b5d,1,-1,35
1b5e,1,-1,35
1b5i,11,-1,45
1b5q,34,-1,36
1b62,32,-1,19
1b63,33,-1,23
1b66,3,-1,31
1b6j,19,-1,4
1b6l,19,-1,4
1b6s,4,-1,48
1b8a,14,-1,1
1b8n,25,-1,8
1b8o,18,-1,41
1b8y,8,-1,39
1b9i,33,-1,19
1b9j,11,-1,45
1b9s,0,-1,22
1b9t,34,-1,48
1b9v,34,-1,22
1b9z,37,-1,6
1ba0,49,-1,42
1ba1,38,-1,42
1bag,24,-1,19
1bb5,13,-1,46
1bc5,23,-1,25
1bch,15,-1,23
1bcj,15,-1,23
1bcr,26,-1,23
1bcs,13,-1,48
1bcu,35,3,10
1bcx,6,-1,18
1bd0,44,-1,3
1bd2,34,-1,1
1bdq,19,-1,4
1bdu,26,-1,15
1be4,24,-1,46
1beu,45,-1,1
1bfb,13,-1,46
1bfd,45,-1,30
1bfv,32,-1,35
1bg0,31,-1,2
1bg2,38,-1,34
1bgg,19,-1,11
1bgn,13,-1,46
1bgq,47,-1,4
1bgu,26,-1,23
1bh2,17,-1,2
1bh5,37,-1,6
1bhf,44,-1,19
1bhx,8,-1,12
1bid,16,-1,23
1bif,45,-1,30
1bir,42,-1,28
1biw,28,-1,26
1bj5,24,-1,46
1bjg,29,-1,8
1bji,36,-1,1
1bjk,32,-1,13
1bju,20,23,26
1bjv,20,23,26
1bk0,35,-1,33
1bkc,0,-1,22
1bkj,33,-1,19
1bkw,13,-1,46
1bky,4,-1,48
1bl5,36,-1,7
1bl6,49,-1,5
1bl7,36,-1,11
1blz,8,-1,33
1bm2,19,-1,11
1bm7,15,-1,0
1bma,34,-1,18
1bmb,38,-1,11
1bmk,19,-1,11
1bn1,5,-1,26
1bn3,5,-1,26
1bn4,5,-1,26
1bnn,5,20,26
1bnq,5,20,26
1bnt,5,20,26
1bnu,5,-1,26
1bnv,5,-1,26
1bnw,5,20,26
1bo6,7,-1,38
1bo7,40,-1,27
1bo8,40,-1,27
1bof,30,-1,2
1boz,8,-1,21
1bp0,40,-1,27
1bp6,40,-1,27
1bpj,29,-1,47
1bq1,26,-1,35
1bq4,44,-1,2
1bq6,18,-1,3
1bqi,4,-1,35
1bqo,5,-1,26
1bqp,16,-1,40
1br5,15,-1,0
1br6,15,-1,31
1brp,15,-1,0
1brw,12,-1,23
1bs1,42,-1,28
1bs6,39,-1,33
1bso,5,-1,39
1btn,42,-1,28
1bu4,1,-1,35
1bu5,17,-1,2
1bup,2,-1,14
1bv7,20,-1,12
1bvi,45,-1,1
1bw9,26,-1,35
1bwb,36,-1,7
1bwk,43,-1,9
1bwn,24,-1,46
1bwo,32,-1,19
1bx4,26,-1,23
1bxg,36,-1,10
1bxm,4,-1,46
1bxo,34,-1,1
1bxq,34,-1,1
1byb,10,-1,32
1byd,9,-1,32
1byg,9,-1,8
1byq,28,-1,14
1byu,18,-1,3
1bzc,27,-1,9
1bzh,27,-1,20
1bzj,43,-1,9
1bzm,47,-1,4
1bzs,36,-1,7
1bzy,36,-1,7
1c0f,49,-1,5
1c0g,41,-1,25
1c0k,15,-1,0
1c14,45,-1,35
1c1b,14,-1,17
1c1c,34,-1,8
1c1d,3,-1,49
1c1e,1,-1,28
1c1l,24,27,46
1c1p,20,-1,26
1c1q,20,23,26
1c1r,20,23,26
1c1s,20,-1,26
1c1t,2,16,20
1c1u,3,3,10
1c1v,3,-1,10
1c1w,3,-1,10
1c1x,26,-1,35
1c1y,29,-1,24
1c21,47,-1,4
1c22,35,-1,12
1c29,25,-1,10
1c2d,20,-1,26
1c2e,2,16,20
1c2f,2,-1,4
1c2g,20,23,26
1c2h,20,-1,26
1c2i,20,-1,26
1c2j,20,23,26
1c2k,20,-1,26
1c2t,44,-1,3
1c39,42,-1,28
1c3e,24,27,46
1c3i,47,-1,4
1c3j,26,-1,23
1c3m,26,-1,19
1c3n,24,27,46
1c3q,48,-1,21
1c3r,14,-1,16
1c3s,15,-1,0
1c3v,24,-1,28
1c3x,13,-1,46
1c4q,13,-1,46
1c4u,35,-1,10
1c4v,5,-1,4
1c50,43,0,44
1c5c,12,-1,23
1c5l,35,3,10
1c5n,35,3,10
1c5o,47,4,12
1c5p,20,-1,26
1c5q,20,-1,26
1c5r,20,23,26
1c5s,20,23,26
1c5t,20,23,26
1c5u,20,-1,26
1c5w,8,-1,33
1c5x,8,-1,33
1c5y,5,-1,26
1c5z,8,-1,33
1c6z,28,-1,4
1c7e,18,-1,2
1c7f,17,-1,2
1c7o,25,-1,1
1c7r,26,-1,35
1c7s,1,-1,28
1c7t,1,-1,18
1c80,24,-1,28
1c81,42,-1,28
1c82,24,-1,46
1c83,27,-1,9
1c84,27,-1,9
1c86,27,-1,20
1c87,27,-1,20
1c88,27,-1,20
1c8k,9,-1,20
1c8l,35,0,44
1c8v,23,-1,13
1c96,26,-1,19
1c97,26,-1,19
1c9c,7,-1,41
1c9d,6,-1,48
1c9k,1,-1,35
1c9u,32,-1,19
1ca7,33,-1,19
1caq,8,-1,39
1cbf,24,29,46
1cbk,30,-1,49
1cbq,6,-1,18
1cbs,6,-1,18
1cbx,34,-1,0
1cc4,13,-1,46
1cd2,39,-1,31
1cde,24,-1,46
1cdg,24,-1,28
1cdk,27,-1,20
1cea,41,-1,25
1ceb,32,-1,19
1cel,36,-1,10
1cen,4,-1,35
1cet,13,-1,46
1cf0,24,-1,46
1cf2,11,-1,17
1cf3,40,-1,8
1cfv,15,-1,35
1cg0,44,-1,3
1cg1,42,-1,19
1cg3,44,-1,3
1cg4,42,-1,19
1cg6,11,-1,45
1cgk,33,-1,19
1cgu,15,-1,35
1cgv,32,-1,19
1cgy,32,-1,19
1cgz,24,27,46
1ch0,42,-1,28
1ch8,42,-1,19
1chm,36,-1,5
1cib,42,-1,3
1cil,5,21,26
1cim,5,21,26
1cin,5,20,26
1cip,17,-1,2
1ciz,8,13,33
1cjb,44,-1,3
1cjc,45,-1,1
1ck6,24,27,46
1cka,24,27,46
1ckm,44,-1,43
1ckn,44,-1,43
1ckp,21,-1,26
1cl2,42,-1,28
1cla,37,-1,41
1cle,15,-1,23
1clu,18,-1,3
1cm8,49,-1,5
1cmc,24,-1,19
1cml,18,-1,3
1cnq,42,-1,3
1cnw,5,20,26
1cnx,5,20,26
1cny,5,-1,26
1com,24,27,46
1coy,49,-1,5
1coz,44,-1,3
1cpi,19,-1,4
1cps,34,-1,17
1cpu,15,-1,0
1cq1,32,-1,19
1cq7,36,-1,7
1cq8,7,-1,41
1cqf,26,-1,35
1cqs,4,-1,35
1cr1,17,-1,2
1cr2,18,-1,2
1cr4,17,-1,47
1crb,6,-1,18
1cs4,3,-1,16
1csm,13,-1,46
1csn,3,-1,6
1csr,41,-1,15
1ct8,13,-1,46
1ct9,42,-1,3
1ctq,18,-1,3
1ctr,24,-1,19
1ctt,12,-1,46
1ctu,12,-1,46
1cul,1,-1,41
1cvn,4,-1,0
1cvu,26,-1,35
1cw1,12,-1,23
1cw2,25,-1,8
1cwd,18,-1,2
1cwe,42,-1,3
1cx4,45,-1,30
1cx9,7,-1,8
1cxe,24,-1,46
1cxh,32,-1,19
1cxi,32,-1,19
1cxk,15,-1,35
1cxv,39,-1,33
1cxz,20,-1,7
1cy0,18,-1,3
1cy1,34,-1,18
1cy2,34,-1,18
1cy6,44,-1,46
1cy7,44,-1,3
1cy8,44,-1,3
1cza,4,-1,23
1czc,41,-1,3
1cze,44,-1,3
1czh,30,-1,5
1czi,11,-1,31
1czk,7,-1,30
1czl,37,-1,6
1czm,28,-1,4
1czn,30,-1,38
1czo,30,-1,5
1czr,37,-1,6
1czu,45,-1,1
1d00,24,-1,46
1d03,7,-1,30
1d04,7,-1,30
1d09,1,-1,19
1d0c,32,26,35
1d0h,33,-1,19
1d0k,16,-1,44
1d0l,43,-1,11
1d0m,26,-1,48
1d0o,32,-1,0
1d0s,24,-1,46
1d0v,44,-1,46
1d0x,1,-1,3
1d0y,1,-1,3
1d0z,1,-1,3
1d1a,29,-1,3
1d1b,45,-1,1
1d1c,36,-1,10
1d1g,6,-1,36
1d1i,13,-1,46
1d1k,13,-1,35
1d1q,0,-1,22
1d1t,45,-1,1
1d1v,32,26,35
1d1w,15,-1,0
1d1x,32,26,35
1d1y,15,-1,0
1d2n,37,-1,6
1d2s,13,-1,35
1d3c,32,-1,19
1d3d,35,3,10
1d3g,27,-1,20
1d3h,2,-1,4
1d3p,35,3,10
1d3v,23,-1,3
1d4a,3,-1,0
1d4h,20,-1,26
1d4p,35,3,10
1d4x,49,-1,5
1d5c,7,-1,2
1d5m,26,-1,0
1d5x,26,-1,19
1d5z,34,-1,36
1d6a,26,-1,0
1d6e,33,-1,19
1d6s,29,-1,3
1d6u,46,-1,34
1d6v,34,-1,0
1d6w,47,-1,12
1d7o,26,-1,35
1d7r,32,-1,30
1d7s,24,-1,19
1d7u,24,-1,19
1d7x,35,-1,4
1d8a,26,-1,35
1d8c,23,-1,13
1d8d,25,-1,10
1d8t,17,-1,47
1d9i,35,-1,10
1daa,1,-1,28
1dad,7,-1,41
1dae,7,-1,30
1daf,44,-1,46
1dag,44,-1,13
1dah,33,-1,13
1dai,41,-1,13
1daj,22,-1,33
1dak,7,-1,30
1dam,23,-1,30
1dar,36,-1,1
1daw,28,-1,4
1day,20,-1,26
1db1,8,17,21
1db4,34,-1,18
1dbo,12,-1,23
1dbt,43,-1,11
1dc6,33,-1,46
1dcp,13,-1,46
1dd6,36,-1,7
1dd7,45,-1,31
1ddr,5,-1,26
1dds,21,-1,21
1ddu,16,-1,15
1de5,43,-1,9
1ded,33,-1,19
1dej,31,-1,5
1dek,13,-1,46
1del,26,-1,36
1det,4,-1,48
1df1,8,17,21
1df7,36,-1,10
1df8,16,-1,15
1dfo,44,-1,3
1dg1,29,-1,47
1dg5,5,-1,26
1dg7,8,-1,33
1dg8,5,-1,26
1dgl,13,-1,19
1dgm,32,-1,19
1dhf,5,-1,26
1dhi,21,-1,21
1dhj,5,-1,26
1dht,13,-1,46
1di8,21,-1,26
1dia,24,27,46
1did,10,-1,2
1die,41,-1,25
1dif,20,-1,26
1dig,24,-1,46
1dil,34,-1,36
1dim,26,-1,36
1diw,33,-1,19
1dj9,13,-1,46
1djr,24,27,46
1djw,45,-1,30
1djx,49,-1,10
1dkf,4,-1,13
1dkp,24,-1,46
1dkq,26,-1,35
1dku,32,-1,19
1dl2,26,-1,36
1dl5,24,-1,28
1dl7,15,-1,0
1dli,6,-1,18
1dlj,6,-1,18
1dll,7,-1,30
1dlr,39,-1,33
1dls,8,-1,21
1dm2,48,-1,29
1dm6,32,26,35
1dm7,15,-1,0
1dm8,32,26,35
1dmh,31,-1,37
1dmi,32,26,35
1dmj,32,26,35
1dmk,32,26,35
1dmp,19,-1,4
1dmt,21,-1,33
1dmw,39,7,33
1dmy,39,-1,49
1dna,23,-1,3
1dnc,24,-1,19
1dnl,49,-1,42
1dnp,26,-1,0
1dod,6,-1,48
1doe,4,-1,46
1dog,24,-1,19
1doh,24,-1,46
1dor,44,-1,3
1dot,45,-1,0
1dp2,18,-1,3
1dpf,38,-1,7
1dpm,44,-1,3
1dqe,0,-1,49
1dqn,6,-1,18
1dqo,24,-1,19
1dqp,6,-1,18
1dqs,42,-1,28
1dqx,37,-1,30
1dr1,21,-1,29
1dr3,21,-1,29
1dr4,5,-1,10
1dr6,20,-1,26
1dra,5,-1,26
1drb,48,-1,21
1drf,8,-1,12
1drj,44,-1,46
1drt,24,29,46
1dry,33,-1,19
1ds6,42,-1,28
1ds7,24,-1,46
1dss,34,-1,36
1dth,11,-1,33
1dtl,15,-1,0
1dtn,15,-1,13
1dtu,32,-1,35
1dub,14,-1,33
1duc,26,-1,0
1dud,6,-1,13
1dug,4,-1,48
1duv,13,-1,19
1dv2,45,-1,1
1dvj,44,-1,3
1dvr,45,-1,30
1dvs,15,-1,0
1dvt,15,-1,0
1dvu,15,-1,0
1dvx,15,-1,0
1dvy,15,-1,0
1dvz,11,-1,49
1dw6,28,-1,4
1dwk,34,-1,6
1dwv,8,17,21
1dww,8,17,21
1dx6,16,-1,13
1dxo,26,-1,0
1dy3,9,-1,32
1dy4,36,-1,10
1dyh,20,-1,26
1dyi,21,-1,21
1dyj,5,-1,26
1dyr,39,-1,31
1dz4,0,-1,22
1dz6,0,-1,22
1dz8,0,-1,22
1dz9,0,-1,22
1dzj,4,-1,46
1dzk,11,-1,45
1dzm,16,-1,13
1dzp,4,-1,46
1dzt,42,-1,28
1e00,4,-1,46
1e02,25,-1,13
1e06,16,-1,45
1e0s,18,-1,3
1e19,32,-1,19
1e1r,45,-1,41
1e1t,20,-1,26
1e1v,21,-1,29
1e1x,28,-1,14
1e1y,43,0,44
1e20,26,-1,35
1e22,20,-1,26
1e24,20,-1,26
1e26,22,-1,33
1e27,18,-1,2
1e2d,40,-1,27
1e2e,9,-1,32
1e2f,9,-1,32
1e2g,40,-1,27
1e2i,42,-1,28
1e2j,32,-1,28
1e2k,42,-1,28
1e2l,42,-1,28
1e2m,42,-1,28
1e2n,42,-1,28
1e2p,42,-1,28
1e2q,40,-1,27
1e2s,12,-1,43
1e3e,41,-1,25
1e3g,2,-1,14
1e3l,23,-1,25
1e3r,3,-1,16
1e3v,28,-1,11
1e3z,30,-1,10
1e40,23,-1,41
1e48,24,-1,46
1e4e,1,-1,35
1e4h,15,6,13
1e4i,16,-1,15
1e4n,43,-1,9
1e55,12,-1,43
1e56,43,-1,9
1e5d,26,-1,36
1e5f,26,-1,19
1e5o,45,-1,1
1e5q,14,-1,1
1e64,32,-1,13
1e66,16,-1,40
1e6q,31,-1,25
1e6r,42,-1,28
1e6s,16,-1,40
1e6x,12,-1,15
1e6z,24,-1,46
1e70,12,-1,15
1e71,15,-1,15
1e72,41,-1,25
1e73,12,-1,15
1e7a,4,-1,48
1e7c,32,-1,19
1e7e,4,-1,23
1e7f,33,-1,19
1e7g,33,-1,19
1e7h,32,-1,3
1e7v,14,-1,17
1e7w,45,-1,13
1e7y,32,-1,19
1e8c,10,-1,24
1e8k,33,-1,19
1e8m,37,-1,28
1e8n,3,-1,25
1e8u,1,-1,28
1e8v,37,-1,6
1e8w,39,-1,31
1e8x,48,-1,21
1e8z,47,-1,12
1e96,42,-1,28
1e98,9,-1,32
1e99,40,-1,27
1e9a,9,-1,32
1e9b,9,-1,32
1e9c,9,-1,32
1e9d,43,-1,32
1e9e,10,-1,32
1e9f,9,-1,32
1e9h,2,-1,14
1e9x,24,-1,46
1eam,1,-1,48
1eap,12,-1,23
1eb1,35,-1,5
1eb2,2,16,20
1ec0,20,-1,26
1ecc,7,-1,38
1ecj,37,-1,6
1ecm,24,27,46
1ecq,15,-1,13
1ecv,27,-1,20
1ed4,32,26,35
1ed5,15,-1,0
1ed6,15,-1,0
1ee1,42,-1,28
1ee2,34,-1,31
1eef,24,-1,19
1eei,24,27,46
1een,27,-1,20
1eeo,27,-1,20
1efc,29,-1,8
1efd,4,-1,48
1efh,49,-1,10
1efi,24,-1,19
1eft,38,-1,9
1efv,7,-1,2
1efy,8,-1,21
1efz,28,-1,12
1eg2,33,-1,19
1eg9,7,-1,2
1egy,30,-1,30
1ehi,33,-1,19
1ehl,33,-1,19
1ei1,19,-1,39
1eib,49,-1,29
1eir,34,-1,31
1eix,44,-1,3
1eiz,13,-1,46
1ej0,24,-1,46
1ej1,18,-1,2
1ej3,8,-1,33
1ej4,18,-1,2
1ejb,42,-1,28
1eje,26,-1,35
1ejh,18,-1,3
1ejj,32,-1,19
1ejn,8,-1,33
1ek0,17,-1,2
1ek6,13,-1,46
1eko,8,-1,12
1ekx,42,-1,28
1el3,8,-1,21
1el4,30,-1,30
1el7,13,-1,19
1ela,0,-1,8
1elb,23,-1,8
1elc,34,-1,36
1eld,0,-1,8
1ele,34,-1,36
1elj,24,-1,46
1elu,29,-1,3
1emd,24,-1,28
1enc,30,-1,42
1enu,20,-1,26
1eo5,32,-1,19
1eo7,42,-1,28
1eob,26,-1,19
1eos,38,-1,9
1eou,5,21,26
1eow,41,-1,2
1ep1,6,-1,48
1ep2,4,-1,48
1ep3,6,-1,18
1ep4,34,-1,31
1epb,42,-1,28
1epl,26,-1,35
1epm,14,-1,17
1epn,34,-1,1
1epq,11,-1,31
1epz,44,-1,19
1eqa,6,-1,48
1eqc,4,-1,46
1eqj,15,-1,0
1eqm,9,-1,32
1eqy,49,-1,5
1erb,11,-1,31
1esq,6,-1,18
1esv,49,-1,5
1eta,36,-1,5
1etb,15,-1,0
1etr,48,-1,21
1ets,8,-1,21
1ett,39,-1,31
1eu1,24,-1,46
1eu8,11,-1,18
1eup,1,-1,28
1eus,24,27,46
1euu,42,-1,28
1ev4,7,-1,30
1ev9,7,-1,30
1eve,6,-1,18
1evl,44,-1,43
1ewk,41,-1,3
1ex1,13,-1,46
1ex7,11,-1,1
1exa,34,-1,36
1exb,32,-1,19
1exf,45,-1,30
1exm,43,-1,9
1exx,26,-1,48
1eye,24,-1,28
1eyi,42,-1,3
1eyj,42,-1,46
1eyk,24,-1,28
1eyn,3,-1,0
1eyq,24,-1,46
1eyr,4,-1,46
1eyw,44,-1,3
1eyy,1,-1,28
1eyz,24,28,28
1ez1,24,-1,28
1ez2,41,-1,2
1ezf,26,-1,35
1ezq,8,-1,21
1f0l,45,-1,28
1f0r,8,18,21
1f0s,48,18,21
1f0t,20,23,26
1f0u,2,-1,4
1f1b,42,-1,28
1f1v,25,-1,13
1f1w,24,-1,3
1f20,4,-1,28
1f28,18,-1,3
1f2p,18,-1,2
1f2u,12,-1,23
1f3a,17,-1,2
1f3d,33,-1,19
1f3e,20,-1,26
1f3f,26,-1,19
1f3l,15,-1,0
1f3t,35,-1,4
1f48,14,-1,17
1f4e,34,-1,8
1f4f,16,-1,44
1f4g,10,-1,8
1f4p,17,-1,2
1f4x,1,-1,3
1f52,33,-1,35
1f5a,13,-1,19
1f5f,13,-1,46
1f5l,8,-1,21
1f5n,37,-1,41
1f5v,13,-1,35
1f6b,1,-1,3
1f6d,33,-1,19
1f6t,44,-1,46
1f74,44,-1,3
1f76,9,-1,9
1f7k,24,-1,46
1f7n,33,-1,19
1f7p,24,-1,19
1f7q,31,-1,25
1f7r,13,-1,19
1f86,41,-1,13
1f8b,28,-1,4
1f8c,2,8,4
1f8d,19,-1,7
1f8e,2,8,4
1f8g,26,-1,0
1f8r,37,-1,0
1f8s,13,-1,19
1f8y,42,-1,28
1f9a,42,-1,28
1f9g,24,-1,46
1f9h,9,-1,32
1f9p,24,-1,46
1f9t,42,-1,3
1f9u,37,-1,6
1f9v,18,-1,3
1f9w,42,-1,3
1fa2,44,-1,3
1fa9,11,-1,18
1fae,4,-1,48
1fao,18,-1,2
1fbh,18,-1,3
1fbl,35,-1,11
1fbo,23,-1,35
1fbp,42,-1,46
1fbw,33,-1,23
1fby,22,-1,33
1fc4,10,-1,37
1fcb,10,-1,37
1fcx,4,-1,13
1fcy,4,-1,13
1fcz,23,-1,48
1fd0,23,-1,13
1fd7,6,-1,18
1fdj,4,-1,35
1fdk,6,-1,48
1fdq,6,-1,17
1fds,13,-1,19
1fdt,7,-1,30
1fe8,33,-1,19
1feb,33,-1,19
1fee,24,-1,46
1fej,28,-1,4
1fel,6,-1,0
1fem,6,-1,0
1fen,6,-1,0
1ffi,20,-1,26
1ffr,31,-1,5
1fg7,42,-1,28
1fgh,13,-1,46
1fgi,49,-1,29
1fgx,49,-1,29
1fgy,1,-1,28
1fh7,45,-1,15
1fh8,39,-1,10
1fh9,39,-1,10
1fhd,23,-1,15
1fhv,26,-1,36
1fhw,26,-1,36
1fhx,42,-1,3
1fih,13,-1,46
1fin,20,-1,26
1fiq,45,-1,5
1fiv,1,-1,28
1fj4,4,-1,35
1fj6,18,-1,3
1fj9,42,-1,28
1fjs,8,18,21
1fjt,27,16,20
1fk0,24,27,46
1fk1,24,27,46
1fk2,24,-1,46
1fk3,24,27,46
1fk4,24,-1,46
1fk5,24,-1,46
1fk6,24,-1,46
1fk7,6,-1,18
1fk9,0,-1,22
1fkg,4,-1,48
1fkh,24,27,46
1fki,6,-1,48
1fkn,46,-1,14
1fkw,35,-1,33
1fkx,0,-1,22
1fl3,45,-1,1
1fla,42,-1,3
1fld,45,-1,30
1flj,39,-1,31
1flm,24,-1,19
1fln,23,-1,13
1flr,26,-1,35
1flv,31,-1,5
1fm4,6,-1,18
1fm6,22,-1,39
1fm7,6,-1,18
1fm8,4,-1,48
1fm9,39,-1,49
1fmb,13,-1,19
1fmc,24,27,46
1fmj,18,-1,2
1fmo,46,-1,14
1fmw,42,-1,3
1fnc,34,-1,36
1fnd,26,-1,35
1fnn,1,-1,28
1fnz,21,-1,10
1fo2,16,-1,44
1fo3,0,-1,49
1foa,24,-1,19
1foi,32,26,35
1foj,15,-1,0
1fol,15,-1,0
1foo,32,26,35
1fop,15,-1,0
1fp1,14,-1,17
1fp2,26,-1,23
1fp6,27,-1,20
1fpc,47,4,12
1fpd,42,-1,28
1fpe,42,-1,3
1fpf,42,-1,46
1fpg,42,-1,46
1fpi,42,-1,28
1fpj,42,-1,46
1fpl,42,-1,46
1fpq,45,-1,1
1fpu,3,-1,16
1fq5,13,-1,46
1fqb,44,-1,43
1fqc,44,-1,43
1fqj,17,-1,2
1fqk,38,-1,9
1fqo,33,-1,3
1fr8,30,-1,42
1frb,44,-1,2
1fro,33,-1,19
1frp,42,-1,28
1frw,24,-1,46
1frz,24,-1,19
1fs4,43,0,44
1fs5,15,-1,19
1fsa,24,-1,28
1fsg,7,-1,41
1fth,33,-1,19
1ftj,0,-1,22
1ftk,34,-1,31
1ftl,0,-1,15
1ftm,39,-1,31
1ftn,20,-1,26
1ftq,9,-1,20
1ftw,16,0,44
1ftx,43,-1,9
1fty,9,-1,20
1fu4,43,0,44
1fu7,43,0,44
1fu8,43,0,44
1fue,42,-1,28
1fup,4,-1,35
1fuq,1,-1,3
1fut,24,27,46
1fuy,45,-1,1
1fv0,22,-1,33
1fvt,2,-1,14
1fvx,44,-1,3
1fw0,16,-1,15
1fw1,24,28,28
